Rock	1
Pop	2
Funk / Soul	3
Blues	4
Jazz	5
Folk	6
World	7
Country	8
Classical	9
Stage & Screen	10
Reggae	11
Hip Hop	12
Electronic	13
Latin	14
Rock & Roll	15
Psychedelic Rock	16
Pop Rock	17
Folk Rock	18
Blues Rock	19
Soul	20
Classic Rock	21
Punk	22
New Wave	23
Rhythm & Blues	24
Experimental	25
Modal	26
Garage Rock	27
Art Rock	28
Acoustic	29
Ballad	30
Alternative Rock	31
Grunge	32
Free Improvisation	33
Disco	34
Delta Blues	35
Hard Rock	36
Mod	37
Prog Rock	38
Glam	39
Soft Rock	40
Beat	41
Soundtrack	42
Modern Classical	43
Contemporary	44
Score	45
Roots Reggae	46
Free Jazz	47
Hard Bop	48
Conscious	49
Big Band	50
Electric Blues	51
Rockabilly	52
Southern Rock	53
Dialogue	54
Field Recording	55
Avantgarde	56
Funk	57
Heavy Metal	58
Synth	59
pop	60
Arena Rock	61
Doo Wop	62
Contemporary Jazz	63
IDM	64
African	65
Afrobeat	66
Zydeco	67
Country Rock	68
Country	69
Ska	70
Fusion	71
Gospel	72
Cha	73
Psychedelic	74
Rocksteady	75
Thug Rap	76
Indie Rock	77
Gangsta	78
Bayou Funk	79
Chicago Blues	80
Louisiana Blues	81
Afro	82
Cuban	83
Pop Rap	84
Post	85
Thrash	86
Speed Metal	87
Power Pop	88
Vocal	89
P.Funk	90
Europop	91
Acid Rock	92
Pop Punk	93
Harmonica Blues	94
Industrial	95
Shoegaze	96
Piano Blues	97
Hardcore Hip	98
Hop	99
Horrorcore	100
Country Blues	101
Musique Concrte	102
Symphonic Rock	103
Parody	104
Ambient	105
Electro	106
RnB/Swing	107
Downtempo	108
Noise	109
Cajun	110
Contemporary R&B	111
Emo	112
Abstract	113
Easy Listening	114
Funk Metal	115
Lo-Fi	116
Spoken Word	117
Hardcore	118
Breakbeat	119
Leftfield	120
AOR	121
Latin Jazz	122
Crunk	123
House	124
Techno	125
Honky Tonk	126
Jump Blues	127
Brit Pop	128
Reggae Gospel	129
Grime	130
Bollywood	131
Dancehall	132
Dub	133
Trip Hop	134
Post Rock	135
Screw	136
Celtic	137
Bossa Nova	138
Modern Electric Blues	139
Neo Soul	140
